species,Island_Endemicity,Flight_Ability
Melierax_metabates,no,1
Melierax_poliopterus,no,1
Milvus_migrans,no,1
Milvus_milvus,no,1
Morphnus_guianensis,no,1
Necrosyrtes_monachus,no,1
Neophron_percnopterus,no,1
Nisaetus_alboniger,no,1
Nisaetus_bartelsi,no,1
Nisaetus_cirrhatus,no,1
Nisaetus_floris,yes,1
Nisaetus_lanceolatus,yes,1
Nisaetus_nanus,no,1
Nisaetus_nipalensis,no,1
Nisaetus_philippensis,no,1
Pandion_haliaetus,no,1
Parabuteo_unicinctus,no,1
Pernis_apivorus,no,1
Pernis_celebensis,no,1
Pernis_ptilorhyncus,no,1
Pithecophaga_jefferyi,yes,1
Polemaetus_bellicosus,no,1
Polyboroides_radiatus,yes,1
Polyboroides_typus,no,1
Rostrhamus_sociabilis,no,1
Sagittarius_serpentarius,no,1
Sarcogyps_calvus,no,1
Spilornis_cheela,no,1
Spilornis_elgini,yes,1
Spilornis_holospilus,no,1
Spilornis_kinabaluensis,no,1
Spilornis_klossi,yes,1
Spilornis_rufipectus,yes,1
Spizaetus_isidori,no,1
Spizaetus_melanoleucus,no,1
Spizaetus_ornatus,no,1
Spizaetus_tyrannus,no,1
Stephanoaetus_coronatus,no,1
Terathopius_ecaudatus,no,1
Torgos_tracheliotos,no,1
Trigonoceps_occipitalis,no,1
Urotriorchis_macrourus,no,1
Cathartes_aura,no,1
Cathartes_burrovianus,no,1
Cathartes_melambrotus,no,1
Coragyps_atratus,no,1
Gymnogyps_californianus,no,1
Sarcoramphus_papa,no,1
Vultur_gryphus,no,1
Aix_galericulata,no,1
Aix_sponsa,no,1
Alopochen_aegyptiaca,no,1
Amazonetta_brasiliensis,no,1
Anas_acuta,no,1
Anas_americana,no,1
Anas_andium,no,1
Anas_aucklandica,yes,0
Anas_bahamensis,no,1
Anas_bernieri,yes,1
Anas_capensis,no,1
Anas_castanea,no,1
Anas_chlorotis,no,1
Anas_clypeata,no,1
Anas_crecca,no,1
Anas_cyanoptera,no,1
Anas_discors,no,1
Anas_eatoni,yes,1
Anas_erythrorhyncha,no,1
Anas_falcata,no,1
Anas_flavirostris,no,1
Anas_formosa,no,1
Anas_fulvigula,no,1
Anas_georgica,no,1
Anas_gibberifrons,no,1
Anas_gracilis,no,1
Anas_hottentota,no,1
Anas_laysanensis,yes,1
Anas_luzonica,no,1
Anas_melleri,yes,1
Anas_nesiotis,yes,0
Anas_penelope,no,1
Anas_platalea,no,1
Anas_platyrhynchos,no,1
Anas_poecilorhyncha,no,1
Anas_puna,no,1
Anas_querquedula,no,1
Anas_rhynchotis,no,1
Anas_rubripes,no,1
Anas_sibilatrix,no,1
Anas_smithii,no,1
Anas_sparsa,no,1
Anas_strepera,no,1
Anas_superciliosa,no,1
Anas_undulata,no,1
Anas_versicolor,no,1
Anas_wyvilliana,yes,1
Anser_albifrons,no,1
Anser_anser,no,1
Anser_brachyrhynchus,no,1
Anser_cygnoides,no,1
Anser_erythropus,no,1
Anser_fabalis,no,1
Anser_indicus,no,1
Aythya_affinis,no,1
Aythya_americana,no,1
Aythya_australis,no,1
Aythya_baeri,no,1
Aythya_collaris,no,1
Aythya_ferina,no,1
Aythya_fuligula,no,1
Aythya_innotata,yes,1
Aythya_marila,no,1
Aythya_novaeseelandiae,no,1
Aythya_nyroca,no,1
Aythya_valisineria,no,1
Biziura_lobata,no,1
Branta_bernicla,no,1
Branta_canadensis,no,1
Branta_hutchinsii,no,1
Branta_leucopsis,no,1
Branta_ruficollis,no,1
Branta_sandvicensis,yes,1
Bucephala_albeola,no,1
Bucephala_clangula,no,1
Bucephala_islandica,no,1
Cairina_moschata,no,1
Cairina_scutulata,no,1
Callonetta_leucophrys,no,1
Cereopsis_novaehollandiae,no,1
Chen_caerulescens,no,1
Chen_canagica,no,1
Chen_rossii,no,1
Chenonetta_jubata,no,1
Chloephaga_hybrida,no,1
Chloephaga_melanoptera,no,1
Chloephaga_picta,no,1
Chloephaga_poliocephala,no,1
Chloephaga_rubidiceps,no,1
Clangula_hyemalis,no,1
Coscoroba_coscoroba,no,1
Cyanochen_cyanoptera,no,1
Cygnus_atratus,no,1
Cygnus_buccinator,no,1
Cygnus_columbianus,no,1
Cygnus_cygnus,no,1
Cygnus_melancoryphus,no,1
Cygnus_olor,no,1
Dendrocygna_arborea,yes,1
Dendrocygna_arcuata,no,1
Dendrocygna_autumnalis,no,1
Dendrocygna_bicolor,no,1
Dendrocygna_eytoni,no,1
Dendrocygna_guttata,no,1
Dendrocygna_javanica,no,1
Dendrocygna_viduata,no,1
Heteronetta_atricapilla,no,1
Histrionicus_histrionicus,no,1
Hymenolaimus_malacorhynchos,no,1
Lophodytes_cucullatus,no,1
Lophonetta_specularioides,no,1
Malacorhynchus_membranaceus,no,1
Marmaronetta_angustirostris,no,1
Melanitta_fusca,no,1
Melanitta_nigra,no,1
Melanitta_perspicillata,no,1
Merganetta_armata,no,1
Mergellus_albellus,no,1
Mergus_merganser,no,1
Mergus_octosetaceus,no,1
Mergus_serrator,no,1
Mergus_squamatus,no,1
Neochen_jubata,no,1
Netta_erythrophthalma,no,1
Netta_peposaca,no,1
Netta_rufina,no,1
Nettapus_auritus,no,1
Nettapus_coromandelianus,no,1
Nettapus_pulchellus,no,1
Nomonyx_dominicus,no,1
Oxyura_australis,no,1
Oxyura_jamaicensis,no,1
Oxyura_leucocephala,no,1
Oxyura_maccoa,no,1
Oxyura_vittata,no,1
Plectropterus_gambensis,no,1
Polysticta_stelleri,no,1
Pteronetta_hartlaubii,no,1
