Species3,Family3,Order3,Avibase_id,Inferred,MainDiet,MainNiche,Pa,Pt,Ne,Se,Fr,In,Ap,Vt,Ca,PAG,PAS,PAD,PEL,PGR,NAE,NGL,SEL,SGR,FAE,FGL,FGR,IAE,ISA,ISS,ISG,IVS,IGE,IGG,APA,APL,APP,APG,APS,APD,VAE,VAS,VPE,VGE,VGG,CAQ,CGR
Heliomaster longirostris,Trochilidae,Apodiformes,AVIBASE-7DB659EF,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heliomaster squamosus,Trochilidae,Apodiformes,AVIBASE-CE6CB6B7,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heliothryx auritus,Trochilidae,Apodiformes,AVIBASE-EFBDAE18,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,63,27,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heliothryx barroti,Trochilidae,Apodiformes,AVIBASE-B70BC2CB,0,Ne,Generalist,0,0,90,0,0,10,0,0,0,0,0,0,0,0,54,36,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocharis chrysura,Trochilidae,Apodiformes,AVIBASE-B507381B,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocharis cyanus,Trochilidae,Apodiformes,AVIBASE-8564ACE3,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocharis eliciae,Trochilidae,Apodiformes,AVIBASE-1939B2C8,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocharis grayi,Trochilidae,Apodiformes,AVIBASE-D4920C92,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocharis humboldtii,Trochilidae,Apodiformes,AVIBASE-8BF8D468,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocharis leucotis,Trochilidae,Apodiformes,AVIBASE-D49E0B95,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocharis sapphirina,Trochilidae,Apodiformes,AVIBASE-584DC7EF,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocharis xantusii,Trochilidae,Apodiformes,AVIBASE-2A5C6788,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylonympha macrocerca,Trochilidae,Apodiformes,AVIBASE-E6180714,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klais guimeti,Trochilidae,Apodiformes,AVIBASE-CFA062CB,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafresnaya lafresnayi,Trochilidae,Apodiformes,AVIBASE-9ECA2AFB,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lampornis amethystinus,Trochilidae,Apodiformes,AVIBASE-474AA2CF,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lampornis calolaemus,Trochilidae,Apodiformes,AVIBASE-C3F849E6,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lampornis castaneoventris,Trochilidae,Apodiformes,AVIBASE-12399C50,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lampornis clemenciae,Trochilidae,Apodiformes,AVIBASE-97FB2BC9,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lampornis hemileucus,Trochilidae,Apodiformes,AVIBASE-2A90E635,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lampornis sybillae,Trochilidae,Apodiformes,AVIBASE-4EF75683,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lampornis viridipallens,Trochilidae,Apodiformes,AVIBASE-9A164FA0,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamprolaima rhami,Trochilidae,Apodiformes,AVIBASE-AD61E929,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepidopyga coeruleogularis,Trochilidae,Apodiformes,AVIBASE-D3D0C21B,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepidopyga goudoti,Trochilidae,Apodiformes,AVIBASE-2BE9465C,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepidopyga lilliae,Trochilidae,Apodiformes,AVIBASE-7AADCEC0,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesbia nuna,Trochilidae,Apodiformes,AVIBASE-5DEE6DC8,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesbia victoriae,Trochilidae,Apodiformes,AVIBASE-E90F598E,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucippus baeri,Trochilidae,Apodiformes,AVIBASE-ECDD6FE6,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucippus chlorocercus,Trochilidae,Apodiformes,AVIBASE-ACC50DCF,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucippus fallax,Trochilidae,Apodiformes,AVIBASE-ACCC88A9,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucippus taczanowskii,Trochilidae,Apodiformes,AVIBASE-F09720C2,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucochloris albicollis,Trochilidae,Apodiformes,AVIBASE-DEB293EB,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loddigesia mirabilis,Trochilidae,Apodiformes,AVIBASE-7969608C,0,Ne,NGL,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophornis adorabilis,Trochilidae,Apodiformes,AVIBASE-277C3C50,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophornis brachylophus,Trochilidae,Apodiformes,AVIBASE-B4FBA85D,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophornis chalybeus,Trochilidae,Apodiformes,AVIBASE-32949A7C,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophornis delattrei,Trochilidae,Apodiformes,AVIBASE-043F6C71,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophornis gouldii,Trochilidae,Apodiformes,AVIBASE-F643911E,0,Ne,NAE,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophornis helenae,Trochilidae,Apodiformes,AVIBASE-DA45F747,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophornis magnificus,Trochilidae,Apodiformes,AVIBASE-C2C5F2E3,0,Omnivore,Generalist,0,0,50,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophornis ornatus,Trochilidae,Apodiformes,AVIBASE-73CC49C7,0,Omnivore,Generalist,0,0,50,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophornis pavoninus,Trochilidae,Apodiformes,AVIBASE-FF8E6E09,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophornis stictolophus,Trochilidae,Apodiformes,AVIBASE-09271BAD,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mellisuga helenae,Trochilidae,Apodiformes,AVIBASE-2AA5F01C,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mellisuga minima,Trochilidae,Apodiformes,AVIBASE-84644567,0,Ne,NAE,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metallura aeneocauda,Trochilidae,Apodiformes,AVIBASE-611C0D47,0,Ne,Generalist,0,0,90,0,0,10,0,0,0,0,0,0,0,0,54,36,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metallura baroni,Trochilidae,Apodiformes,AVIBASE-E301DB9E,0,Ne,NAE,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metallura eupogon,Trochilidae,Apodiformes,AVIBASE-AC4A332A,0,Ne,NAE,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metallura iracunda,Trochilidae,Apodiformes,AVIBASE-5A77A647,0,Ne,NAE,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metallura odomae,Trochilidae,Apodiformes,AVIBASE-48C9549A,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metallura phoebe,Trochilidae,Apodiformes,AVIBASE-19A9FCEC,0,Ne,NAE,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metallura theresiae,Trochilidae,Apodiformes,AVIBASE-CD38DC4D,0,Ne,NAE,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metallura tyrianthina,Trochilidae,Apodiformes,AVIBASE-7AEDC014,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,63,27,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metallura williami,Trochilidae,Apodiformes,AVIBASE-8023D26D,0,Ne,NAE,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microchera albocoronata,Trochilidae,Apodiformes,AVIBASE-B99E16AF,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microstilbon burmeisteri,Trochilidae,Apodiformes,AVIBASE-661BA735,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrmia micrura,Trochilidae,Apodiformes,AVIBASE-B7B7F11C,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrtis fanny,Trochilidae,Apodiformes,AVIBASE-18D09F79,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocreatus underwoodii,Trochilidae,Apodiformes,AVIBASE-D3ECED63,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opisthoprora euryptera,Trochilidae,Apodiformes,AVIBASE-42C0AED1,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreonympha nobilis,Trochilidae,Apodiformes,AVIBASE-D598D0EB,0,Ne,Generalist,0,0,90,0,0,10,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreotrochilus adela,Trochilidae,Apodiformes,AVIBASE-E187A21B,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreotrochilus chimborazo,Trochilidae,Apodiformes,AVIBASE-49B76084,0,Ne,NGL,0,0,90,0,0,10,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreotrochilus estella,Trochilidae,Apodiformes,AVIBASE-0DA1CA5D,0,Ne,NGL,0,0,90,0,0,10,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreotrochilus leucopleurus,Trochilidae,Apodiformes,AVIBASE-927CB5B7,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreotrochilus melanogaster,Trochilidae,Apodiformes,AVIBASE-2385057C,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthorhyncus cristatus,Trochilidae,Apodiformes,AVIBASE-47928606,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxypogon guerinii,Trochilidae,Apodiformes,AVIBASE-2B7764F8,0,Ne,NGL,0,0,90,0,0,10,0,0,0,0,0,0,0,0,27,63,0,0,0,0,0,3,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Panterpe insignis,Trochilidae,Apodiformes,AVIBASE-09E88F83,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patagona gigas,Trochilidae,Apodiformes,AVIBASE-59067C71,0,Ne,NGL,0,0,90,0,0,10,0,0,0,0,0,0,0,0,27,63,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaeochroa cuvierii,Trochilidae,Apodiformes,AVIBASE-058A126E,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,81,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis anthophilus,Trochilidae,Apodiformes,AVIBASE-0636BA02,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis atrimentalis,Trochilidae,Apodiformes,AVIBASE-BF1FDF21,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis augusti,Trochilidae,Apodiformes,AVIBASE-F7DEB8B1,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis bourcieri,Trochilidae,Apodiformes,AVIBASE-11E72742,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis eurynome,Trochilidae,Apodiformes,AVIBASE-8AB95776,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis griseogularis,Trochilidae,Apodiformes,AVIBASE-8373BE52,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis guy,Trochilidae,Apodiformes,AVIBASE-5C47DAE8,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis hispidus,Trochilidae,Apodiformes,AVIBASE-2FA996CE,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis idaliae,Trochilidae,Apodiformes,AVIBASE-6B680669,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis koepckeae,Trochilidae,Apodiformes,AVIBASE-EB1D2D33,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis longirostris,Trochilidae,Apodiformes,AVIBASE-A5F512AD,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis longuemareus,Trochilidae,Apodiformes,AVIBASE-B5AA306A,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis malaris,Trochilidae,Apodiformes,AVIBASE-97C2A2A4,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis nattereri,Trochilidae,Apodiformes,AVIBASE-9397CA04,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis philippii,Trochilidae,Apodiformes,AVIBASE-ACCDFD22,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis pretrei,Trochilidae,Apodiformes,AVIBASE-3338E424,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis ruber,Trochilidae,Apodiformes,AVIBASE-1EAB2C48,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis rupurumii,Trochilidae,Apodiformes,AVIBASE-D7585C3D,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis squalidus,Trochilidae,Apodiformes,AVIBASE-B9A214AC,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis striigularis,Trochilidae,Apodiformes,AVIBASE-2FF56FC2,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis stuarti,Trochilidae,Apodiformes,AVIBASE-98F9AA07,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis subochraceus,Trochilidae,Apodiformes,AVIBASE-4D3CD91A,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis superciliosus,Trochilidae,Apodiformes,AVIBASE-0F0B7973,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis syrmatophorus,Trochilidae,Apodiformes,AVIBASE-F8E58273,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaethornis yaruqui,Trochilidae,Apodiformes,AVIBASE-0D34BFF1,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlogophilus harterti,Trochilidae,Apodiformes,AVIBASE-BDFF6CEB,0,Ne,NGL,0,0,90,0,0,10,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlogophilus hemileucurus,Trochilidae,Apodiformes,AVIBASE-F231A8EA,0,Ne,NGL,0,0,90,0,0,10,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyonymus caroli,Trochilidae,Apodiformes,AVIBASE-EA348366,0,Ne,NAE,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polytmus guainumbi,Trochilidae,Apodiformes,AVIBASE-D78E94DF,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polytmus milleri,Trochilidae,Apodiformes,AVIBASE-E424717B,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polytmus theresiae,Trochilidae,Apodiformes,AVIBASE-5CA2331E,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pterophanes cyanopterus,Trochilidae,Apodiformes,AVIBASE-D370EC58,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,81,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramphodon naevius,Trochilidae,Apodiformes,AVIBASE-4CAAC972,0,Ne,NAE,0,0,90,0,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
