Species3,Family3,Order3,Avibase_id,Inferred,MainDiet,MainNiche,Pa,Pt,Ne,Se,Fr,In,Ap,Vt,Ca,PAG,PAS,PAD,PEL,PGR,NAE,NGL,SEL,SGR,FAE,FGL,FGR,IAE,ISA,ISS,ISG,IVS,IGE,IGG,APA,APL,APP,APG,APS,APD,VAE,VAS,VPE,VGE,VGG,CAQ,CGR
Accipiter henicogrammus,Accipitridae,Accipitriformes,AVIBASE-9288286D,0,Vt,VPE,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,7,0,63,0,0,0,0
Accipiter henstii,Accipitridae,Accipitriformes,AVIBASE-05701150,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0
Accipiter imitator,Accipitridae,Accipitriformes,AVIBASE-466CC533,0,Vt,Generalist,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,18,0,42,0,0,0,0
Accipiter luteoschistaceus,Accipitridae,Accipitriformes,AVIBASE-EA787A01,0,Vt,VPE,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Accipiter madagascariensis,Accipitridae,Accipitriformes,AVIBASE-5D673E3E,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,32,0,48,0,0,0,0
Accipiter melanochlamys,Accipitridae,Accipitriformes,AVIBASE-1F0322E5,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,36,0,54,0,0,0,0
Accipiter melanoleucus,Accipitridae,Accipitriformes,AVIBASE-819AB823,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,40,0,0,0,0
Accipiter meyerianus,Accipitridae,Accipitriformes,AVIBASE-87B94C0E,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,40,0,0,0,0
Accipiter minullus,Accipitridae,Accipitriformes,AVIBASE-CE1CF6FD,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,48,0,32,0,0,0,0
Accipiter nanus,Accipitridae,Accipitriformes,AVIBASE-7F1573CA,0,In,Generalist,0,0,0,0,0,70,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,49,0,0,0,0,0,0,0,0,0,3,0,27,0,0,0,0
Accipiter nisus,Accipitridae,Accipitriformes,AVIBASE-DB376A66,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0
Accipiter novaehollandiae,Accipitridae,Accipitriformes,AVIBASE-3400ACD7,0,Vt,Generalist,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,7,21,42,0,0,0,0
Accipiter ovampensis,Accipitridae,Accipitriformes,AVIBASE-BAE91683,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20,0,0,0,0
Accipiter poliocephalus,Accipitridae,Accipitriformes,AVIBASE-435FF493,0,Vt,VPE,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,8,0,72,0,0,0,0
Accipiter poliogaster,Accipitridae,Accipitriformes,AVIBASE-707547BB,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0
Accipiter princeps,Accipitridae,Accipitriformes,AVIBASE-B202721E,0,Vt,Generalist,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,7,21,42,0,0,0,0
Accipiter rhodogaster,Accipitridae,Accipitriformes,AVIBASE-C638D858,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,24,0,56,0,0,0,0
Accipiter rufitorques,Accipitridae,Accipitriformes,AVIBASE-5B6F04D7,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,32,16,32,0,0,0,0
Accipiter rufiventris,Accipitridae,Accipitriformes,AVIBASE-EC0E680F,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,36,36,18,0,0,0,0
Accipiter soloensis,Accipitridae,Accipitriformes,AVIBASE-D188E45C,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,18,63,0,0,0,0
Accipiter striatus,Accipitridae,Accipitriformes,AVIBASE-3B024163,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,20,0,0,0,0
Accipiter superciliosus,Accipitridae,Accipitriformes,AVIBASE-F23F7695,0,Vt,VAE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,30,0,0,0,0
Accipiter tachiro,Accipitridae,Accipitriformes,AVIBASE-0262A612,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,0,0,0,45,18,27,0,0,0,0
Accipiter toussenelii,Accipitridae,Accipitriformes,AVIBASE-DAF17A0B,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,81,0,0,0,0
Accipiter trinotatus,Accipitridae,Accipitriformes,AVIBASE-0BED8100,0,Vt,VPE,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,8,0,72,0,0,0,0
Accipiter trivirgatus,Accipitridae,Accipitriformes,AVIBASE-0D4EE0EB,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,24,0,56,0,0,0,0
Accipiter ventralis,Accipitridae,Accipitriformes,AVIBASE-3B024163,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0
